payment_id,booking_id,payment_status,paid_amount
P184,B184,Paid,19486
P185,B185,Paid,17331
P186,B186,Paid,22792
P187,B187,Refunded,0
P188,B188,Paid,21852
P189,B189,Paid,18408
P190,B190,Paid,16054
P191,B191,Refunded,0
P192,B192,Paid,46312
P193,B193,Paid,32308
P194,B194,Paid,19148
P195,B195,Paid,16598
P196,B196,Paid,22414
P197,B197,Paid,33280
P198,B198,Paid,19419
P199,B199,Paid,35661
P200,B200,Paid,16434
P201,B201,Paid,9506
P202,B202,Paid,19428
P203,B203,Paid,28446
P204,B204,Paid,46216
P205,B205,Paid,16956
P206,B206,Paid,10714
P207,B207,Paid,21099
P208,B208,Paid,14808
P209,B209,Paid,22508
P210,B210,Paid,20295
P211,B211,Paid,47252
P212,B212,Paid,5878
P213,B213,Paid,17714
P214,B214,Paid,9272
P215,B215,Paid,36084
P216,B216,Paid,51100
P217,B217,Paid,29571
P218,B218,Paid,8107
P219,B219,Paid,19686
P220,B220,Paid,44960
P221,B221,Paid,12270
P222,B222,Paid,49420
P223,B223,Paid,30627
P224,B224,Refunded,0
P225,B225,Paid,32024
P226,B226,Paid,34724
P227,B227,Paid,10135
P228,B228,Paid,10245
P229,B229,Paid,26217
P230,B230,Paid,26511
P231,B231,Paid,6631
P232,B232,Paid,20658
P233,B233,Paid,28680
P234,B234,Paid,19317
P235,B235,Refunded,0
P236,B236,Paid,20292
P237,B237,Paid,9808
P238,B238,Paid,6569
P239,B239,Paid,38720
P240,B240,Paid,10822
P241,B241,Paid,5871
P242,B242,Paid,34368
P243,B243,Paid,37377
P244,B244,Paid,36328
P245,B245,Paid,21472
P246,B246,Paid,24442
P247,B247,Paid,24264
P248,B248,Paid,12224
P249,B249,Paid,8864
P250,B250,Paid,22714
P251,B251,Paid,50060
P252,B252,Paid,21180
P253,B253,Paid,33159
P254,B254,Refunded,0
P255,B255,Paid,12410
P256,B256,Paid,24040
P257,B257,Paid,22102
P258,B258,Paid,19120
P259,B259,Paid,27927
P260,B260,Paid,22575
P261,B261,Refunded,0
P262,B262,Paid,15970
P263,B263,Paid,17640
P264,B264,Refunded,0
P265,B265,Paid,5661
P266,B266,Refunded,0
P267,B267,Refunded,0
P268,B268,Paid,21624
P269,B269,Refunded,0
P270,B270,Paid,43552
P271,B271,Paid,26184
P272,B272,Paid,36576
P273,B273,Paid,26212
P274,B274,Paid,14444
P275,B275,Refunded,0
P276,B276,Paid,27009
P277,B277,Paid,10681
P278,B278,Paid,7196
P279,B279,Paid,8784
P280,B280,Paid,30052
P281,B281,Paid,47240
P282,B282,Paid,35424
P283,B283,Paid,9761
P284,B284,Paid,6739
P285,B285,Paid,9162
P286,B286,Paid,44480
P287,B287,Paid,8698
P288,B288,Paid,37488
P289,B289,Paid,39129
P290,B290,Paid,7085
P291,B291,Paid,41988
P292,B292,Paid,21354
P293,B293,Paid,35346
P294,B294,Refunded,0
P295,B295,Paid,33300
P296,B296,Paid,26517
P297,B297,Paid,33129
P298,B298,Paid,48940
P299,B299,Paid,13502
P300,B300,Paid,27056
P301,B301,Paid,36428
P302,B302,Paid,25818
P303,B303,Paid,12940
P304,B304,Paid,47716
P305,B305,Refunded,0
P306,B306,Paid,37977
P307,B307,Paid,20547
P308,B308,Refunded,0
P309,B309,Paid,21207
P310,B310,Paid,6641
P311,B311,Paid,29040
P312,B312,Paid,6176
P313,B313,Paid,9021
P314,B314,Refunded,0
P315,B315,Paid,29727
P316,B316,Refunded,0
P317,B317,Paid,20770
P318,B318,Paid,23622
P319,B319,Paid,16638
P320,B320,Paid,16148
P321,B321,Paid,8617
P322,B322,Paid,24183
P323,B323,Paid,43036
P324,B324,Paid,33783
P325,B325,Paid,20554
P326,B326,Paid,14614
P327,B327,Paid,10887
P328,B328,Paid,24624
P329,B329,Paid,33171
P330,B330,Paid,12892
P331,B331,Paid,5773
P332,B332,Paid,25124
P333,B333,Paid,9056
P334,B334,Paid,35412
P335,B335,Refunded,0
P336,B336,Paid,19172
P337,B337,Paid,38752
P338,B338,Paid,17154
P339,B339,Paid,17820
P340,B340,Paid,39736
P341,B341,Paid,6865
P342,B342,Refunded,0
P343,B343,Refunded,0
P344,B344,Paid,49788
P345,B345,Refunded,0
P346,B346,Paid,50256
P347,B347,Refunded,0
P348,B348,Paid,36039
P349,B349,Paid,40252
P350,B350,Refunded,0
P351,B351,Paid,21588
P352,B352,Paid,17388
P353,B353,Refunded,0
P354,B354,Paid,39240
P355,B355,Paid,17934
P356,B356,Paid,23054
P357,B357,Paid,8763
P358,B358,Paid,17686
P359,B359,Paid,26805
P360,B360,Refunded,0
P361,B361,Paid,18111
P362,B362,Paid,24732
P363,B363,Paid,12491
P364,B364,Paid,17778
P365,B365,Paid,9930
P366,B366,Paid,31329
P367,B367,Paid,26700
P368,B368,Paid,13480
P369,B369,Refunded,0
P370,B370,Paid,44508
P371,B371,Paid,26859
P372,B372,Paid,12515
P373,B373,Paid,28152
P374,B374,Paid,10586
P375,B375,Paid,26451
P376,B376,Paid,41980
P377,B377,Paid,18363
P378,B378,Paid,51048
P379,B379,Refunded,0
P380,B380,Paid,42872
P381,B381,Paid,20142
P382,B382,Paid,27570
P383,B383,Paid,31326
P384,B384,Paid,5729
P385,B385,Paid,22612
P386,B386,Paid,43784
P387,B387,Refunded,0
P388,B388,Paid,17166
P389,B389,Paid,31632
P390,B390,Refunded,0
P391,B391,Paid,8675
P392,B392,Paid,26940
P393,B393,Paid,9220
P394,B394,Paid,23736
P395,B395,Paid,9359
P396,B396,Paid,23452
P397,B397,Paid,18690
P398,B398,Paid,26884
P399,B399,Paid,9325
P400,B400,Paid,21764
P401,B401,Paid,9715
P402,B402,Paid,10117
P403,B403,Paid,25770
P404,B404,Paid,24240
P405,B405,Paid,45752
P406,B406,Paid,25932
P407,B407,Paid,24880
P408,B408,Paid,50596
P409,B409,Paid,10359
P410,B410,Paid,26144
P411,B411,Paid,38236
P412,B412,Paid,37360
P413,B413,Paid,41196
P414,B414,Paid,31179
P415,B415,Paid,10558
P416,B416,Paid,37068
P417,B417,Paid,35236
P418,B418,Paid,11215
P419,B419,Paid,10874
P420,B420,Paid,12774
P421,B421,Paid,35901
P422,B422,Paid,10804
P423,B423,Paid,20392
P424,B424,Paid,14496
P425,B425,Paid,7835
P426,B426,Paid,8930
P427,B427,Paid,36246
P428,B428,Paid,34708
P429,B429,Paid,24315
P430,B430,Paid,42492
P431,B431,Paid,18038
P432,B432,Paid,44040
P433,B433,Paid,20350
P434,B434,Paid,31620
P435,B435,Paid,33524
P436,B436,Paid,8608
P437,B437,Paid,6171
P438,B438,Paid,21216
P439,B439,Refunded,0
P440,B440,Refunded,0
P441,B441,Paid,9751
P442,B442,Paid,7627
P443,B443,Paid,36300
P444,B444,Paid,20181
P445,B445,Refunded,0
P446,B446,Refunded,0
P447,B447,Paid,24056
P448,B448,Paid,45008
P449,B449,Refunded,0
P450,B450,Refunded,0
P451,B451,Refunded,0
P452,B452,Refunded,0
P453,B453,Paid,31004
P454,B454,Paid,38166
P455,B455,Refunded,0
P456,B456,Paid,25530
P457,B457,Paid,34470
P458,B458,Paid,18134
P459,B459,Paid,16206
P460,B460,Paid,16516
P461,B461,Paid,8370
P462,B462,Paid,17766
P463,B463,Paid,32180
P464,B464,Paid,7203
P465,B465,Paid,25899
P466,B466,Paid,9022
P467,B467,Paid,46828
P468,B468,Paid,39640
P469,B469,Paid,35205
P470,B470,Paid,40924
P471,B471,Paid,23877
P472,B472,Paid,19305
P473,B473,Paid,10927
P474,B474,Paid,14148
P475,B475,Paid,44776
P476,B476,Paid,10548
P477,B477,Paid,35319
P478,B478,Paid,27732
P479,B479,Paid,51636
P480,B480,Paid,51072
P481,B481,Paid,9406
P482,B482,Paid,41880
P483,B483,Paid,18045
P484,B484,Paid,12304
P485,B485,Paid,30675
P486,B486,Refunded,0
P487,B487,Paid,7194
P488,B488,Paid,13032
P489,B489,Paid,30087
P490,B490,Paid,17112
P491,B491,Paid,24945
P492,B492,Paid,6994
P493,B493,Paid,22488
P494,B494,Paid,12841
P495,B495,Paid,34276
P496,B496,Paid,17078
P497,B497,Paid,28434
P498,B498,Paid,37254
P499,B499,Paid,7148
P500,B500,Paid,25470
P501,B501,Paid,21864
P502,B502,Paid,25875
P503,B503,Paid,20880
P504,B504,Paid,17222
P505,B505,Paid,44036
P506,B506,Paid,15156
P507,B507,Paid,12076
P508,B508,Paid,23248
P509,B509,Paid,23922
P510,B510,Refunded,0
P511,B511,Paid,5986
P512,B512,Paid,25416
P513,B513,Paid,10127
P514,B514,Paid,18448
P515,B515,Refunded,0
P516,B516,Refunded,0
P517,B517,Paid,6889
P518,B518,Paid,10114
P519,B519,Paid,13598
P520,B520,Paid,41836
P521,B521,Paid,32316
P522,B522,Paid,20548
P523,B523,Paid,8795
P524,B524,Refunded,0
P525,B525,Paid,20247
P526,B526,Paid,23439
P527,B527,Paid,11380
P528,B528,Paid,12848
P529,B529,Paid,46372
P530,B530,Paid,48868
P531,B531,Paid,26152
P532,B532,Paid,39652
P533,B533,Paid,21604
P534,B534,Paid,44856
P535,B535,Paid,10620
P536,B536,Paid,12832
P537,B537,Paid,30174
P538,B538,Paid,18666
P539,B539,Paid,15550
P540,B540,Paid,18708
P541,B541,Refunded,0
P542,B542,Paid,12191
P543,B543,Paid,8729
P544,B544,Paid,14940
P545,B545,Paid,42660
P546,B546,Paid,33786
P547,B547,Paid,24236
P548,B548,Paid,12492
P549,B549,Paid,8326
P550,B550,Paid,32964
P551,B551,Paid,18944
P552,B552,Paid,7029
P553,B553,Paid,16398
P554,B554,Paid,21692
P555,B555,Paid,9956
P556,B556,Paid,31596
P557,B557,Paid,5816
P558,B558,Refunded,0
P559,B559,Paid,31347
P560,B560,Paid,13117
P561,B561,Paid,34632
P562,B562,Paid,28290
P563,B563,Paid,36621
P564,B564,Paid,23487
P565,B565,Paid,10841
P566,B566,Paid,19664
P567,B567,Paid,17948
P568,B568,Paid,17644
P569,B569,Paid,13171
P570,B570,Paid,9396
P571,B571,Paid,28804
P572,B572,Paid,12089
P573,B573,Paid,20652
P574,B574,Paid,12898
P575,B575,Paid,15938
P576,B576,Paid,11012
P577,B577,Paid,51484
P578,B578,Refunded,0
P579,B579,Paid,22168
P580,B580,Paid,8365
P581,B581,Paid,37506
P582,B582,Paid,24344
P583,B583,Paid,12026
P584,B584,Refunded,0
P585,B585,Paid,6949
P586,B586,Paid,10171
P587,B587,Paid,10392
P588,B588,Paid,30255
P589,B589,Refunded,0
P590,B590,Paid,11486
P591,B591,Paid,16947
P592,B592,Refunded,0
P593,B593,Paid,30192
P594,B594,Paid,19934
P595,B595,Paid,10462
P596,B596,Paid,21514
P597,B597,Paid,20094
P598,B598,Refunded,0
P599,B599,Paid,11129
P600,B600,Paid,34432
P601,B601,Paid,7397
P602,B602,Paid,11968
P603,B603,Refunded,0
P604,B604,Paid,13886
P605,B605,Paid,11037
P606,B606,Paid,32652
P607,B607,Paid,25724
P608,B608,Paid,12955
P609,B609,Paid,16988
P610,B610,Paid,18320
P611,B611,Paid,10902
P612,B612,Paid,9031
P613,B613,Paid,20674
P614,B614,Paid,21294
P615,B615,Paid,13408
P616,B616,Paid,7568
P617,B617,Paid,28344
P618,B618,Paid,39393
P619,B619,Paid,8142
P620,B620,Paid,31341
P621,B621,Paid,13622
P622,B622,Paid,18484
P623,B623,Paid,28473
P624,B624,Refunded,0
P625,B625,Paid,33306
P626,B626,Paid,36464
P627,B627,Paid,34228
P628,B628,Paid,21627
P629,B629,Paid,40900
P630,B630,Paid,13656
P631,B631,Paid,8441
P632,B632,Paid,31959
P633,B633,Paid,7028
P634,B634,Paid,8682
P635,B635,Paid,28014
P636,B636,Paid,12100
P637,B637,Paid,14964
P638,B638,Paid,12218
P639,B639,Refunded,0
P640,B640,Refunded,0
P641,B641,Paid,25108
P642,B642,Paid,14558
P643,B643,Paid,41272
P644,B644,Paid,20163
P645,B645,Paid,19074
P646,B646,Paid,17352
P647,B647,Paid,13664
P648,B648,Paid,36471
P649,B649,Paid,45068
P650,B650,Paid,25800
P651,B651,Paid,38204
P652,B652,Paid,30156
P653,B653,Refunded,0
P654,B654,Paid,23412
P655,B655,Paid,15878
P656,B656,Paid,28521
P657,B657,Paid,13036
P658,B658,Paid,8922
P659,B659,Paid,32004
P660,B660,Paid,28948
P661,B661,Paid,9439
P662,B662,Paid,12860
P663,B663,Paid,25767
P664,B664,Paid,16922
P665,B665,Paid,17592
P666,B666,Paid,18687
P667,B667,Paid,8795
P668,B668,Paid,40904
P669,B669,Paid,43428
P670,B670,Paid,9005
P671,B671,Paid,21206
P672,B672,Paid,30852
P673,B673,Paid,27054
P674,B674,Refunded,0
P675,B675,Paid,37012
P676,B676,Paid,10474
P677,B677,Refunded,0
P678,B678,Paid,9624
P679,B679,Paid,29238
P680,B680,Refunded,0
P681,B681,Refunded,0
P682,B682,Paid,9008
P683,B683,Paid,30945
P684,B684,Paid,7170
P685,B685,Paid,7041
P686,B686,Refunded,0
P687,B687,Paid,22230
P688,B688,Paid,6916
P689,B689,Paid,19012
P690,B690,Paid,19653
P691,B691,Paid,49800
P692,B692,Paid,14494
P693,B693,Refunded,0
P694,B694,Refunded,0
P695,B695,Paid,6735
P696,B696,Paid,38132
P697,B697,Paid,32556
P698,B698,Paid,17744
P699,B699,Paid,30465
P700,B700,Paid,31050
P701,B701,Paid,21224
P702,B702,Paid,6396
P703,B703,Paid,44784
P704,B704,Paid,23960
P705,B705,Paid,8808
P706,B706,Paid,18848
P707,B707,Paid,30858
P708,B708,Paid,9414
P709,B709,Paid,41932
P710,B710,Paid,8713
P711,B711,Paid,10181
P712,B712,Paid,14308
P713,B713,Paid,21592
P714,B714,Paid,11059
P715,B715,Paid,35769
P716,B716,Refunded,0
P717,B717,Refunded,0
P718,B718,Paid,35028
P719,B719,Paid,35720
P720,B720,Paid,21360
P721,B721,Paid,12224
P722,B722,Paid,18800
P723,B723,Refunded,0
P724,B724,Paid,22618
P725,B725,Paid,7243
P726,B726,Paid,24158
P727,B727,Refunded,0
P728,B728,Paid,6841
P729,B729,Paid,7570
P730,B730,Paid,12774
P731,B731,Paid,11212
P732,B732,Paid,5631
P733,B733,Paid,5688
P734,B734,Paid,35412
P735,B735,Paid,10343
P736,B736,Paid,23748
P737,B737,Paid,28638
P738,B738,Refunded,0
P739,B739,Paid,20268
P740,B740,Paid,11823
P741,B741,Paid,11335
P742,B742,Paid,9239
P743,B743,Paid,20358
P744,B744,Paid,20564
P745,B745,Paid,8635
P746,B746,Paid,19710
P747,B747,Paid,12618
P748,B748,Paid,11974
P749,B749,Paid,22788
P750,B750,Paid,11088
P751,B751,Paid,29334
P752,B752,Paid,28096
P753,B753,Paid,7278
P754,B754,Paid,37008
P755,B755,Paid,23865
P756,B756,Refunded,0
P757,B757,Paid,18108
P758,B758,Paid,37112
P759,B759,Paid,13116
P760,B760,Paid,11028
P761,B761,Paid,19062
P762,B762,Paid,45344
P763,B763,Paid,21056
P764,B764,Paid,16874
P765,B765,Refunded,0
P766,B766,Paid,39800
P767,B767,Paid,12850
P768,B768,Paid,31800
P769,B769,Paid,19599
P770,B770,Paid,40188
P771,B771,Refunded,0
P772,B772,Paid,34047
P773,B773,Paid,26733
P774,B774,Paid,21597
P775,B775,Refunded,0
P776,B776,Paid,20751
P777,B777,Paid,6741
P778,B778,Paid,5578
P779,B779,Paid,10752
P780,B780,Paid,22552
P781,B781,Paid,34992
P782,B782,Paid,18567
P783,B783,Paid,7066
P784,B784,Refunded,0
P785,B785,Paid,13078
P786,B786,Refunded,0
P787,B787,Paid,8714
P788,B788,Refunded,0
P789,B789,Paid,26744
P790,B790,Refunded,0
P791,B791,Paid,27000
P792,B792,Paid,39760
P793,B793,Paid,24512
P794,B794,Paid,31064
P795,B795,Paid,10954
P796,B796,Paid,21912
P797,B797,Paid,32490
P798,B798,Paid,37491
P799,B799,Paid,15832
P800,B800,Paid,12180
P801,B801,Paid,25936
P802,B802,Paid,18548
P803,B803,Paid,35388
P804,B804,Paid,25804
P805,B805,Paid,6615
P806,B806,Paid,11261
P807,B807,Paid,47464
P808,B808,Paid,7376
P809,B809,Paid,36712
P810,B810,Paid,31200
P811,B811,Paid,7911
P812,B812,Paid,51184
P813,B813,Refunded,0
P814,B814,Paid,19488
P815,B815,Paid,28464
P816,B816,Paid,11346
P817,B817,Refunded,0
P818,B818,Paid,17892
P819,B819,Paid,7194
P820,B820,Paid,12906
P821,B821,Paid,51124
P822,B822,Paid,21914
P823,B823,Paid,12590
P824,B824,Paid,38862
P825,B825,Paid,6574
P826,B826,Paid,20580
P827,B827,Paid,45252
P828,B828,Paid,16422
P829,B829,Paid,22992
P830,B830,Paid,11814
P831,B831,Paid,11640
P832,B832,Refunded,0
P833,B833,Paid,23848
P834,B834,Paid,11316
P835,B835,Paid,10319
P836,B836,Paid,9322
P837,B837,Paid,9500
P838,B838,Refunded,0
P839,B839,Paid,24633
P840,B840,Paid,11948
P841,B841,Paid,22474
P842,B842,Paid,18740
P843,B843,Paid,22528
P844,B844,Paid,21153
P845,B845,Paid,18968
P846,B846,Paid,25552
P847,B847,Paid,25408
P848,B848,Paid,36876
P849,B849,Paid,14062
P850,B850,Paid,27208
P851,B851,Paid,6267
P852,B852,Paid,27372
P853,B853,Paid,31540
P854,B854,Paid,37540
P855,B855,Paid,30968
P856,B856,Paid,46432
P857,B857,Paid,6639
P858,B858,Paid,17356
P859,B859,Paid,38826
P860,B860,Paid,42664
P861,B861,Refunded,0
P862,B862,Paid,26044
P863,B863,Paid,24668
P864,B864,Paid,25029
P865,B865,Paid,8852
P866,B866,Paid,11762
P867,B867,Paid,26043
P868,B868,Paid,7711
P869,B869,Paid,26310
P870,B870,Paid,26940
P871,B871,Paid,6533
P872,B872,Paid,8912
P873,B873,Paid,15400
P874,B874,Paid,41772
P875,B875,Paid,22476
P876,B876,Paid,33620
P877,B877,Paid,26745
P878,B878,Paid,12681
P879,B879,Paid,33600
P880,B880,Paid,19278
P881,B881,Paid,7167
P882,B882,Paid,25502
P883,B883,Paid,24042
P884,B884,Paid,37132
P885,B885,Paid,10823
P886,B886,Paid,25840
P887,B887,Paid,28860
P888,B888,Paid,39076
P889,B889,Paid,9258
P890,B890,Paid,46272
P891,B891,Paid,36288
P892,B892,Paid,19341
P893,B893,Paid,38019
P894,B894,Paid,42940
P895,B895,Paid,8990
P896,B896,Paid,26208
P897,B897,Paid,23680
P898,B898,Paid,14760
P899,B899,Paid,29007
P900,B900,Paid,20180
P901,B901,Paid,26016
P902,B902,Paid,9772
P903,B903,Paid,36924
P904,B904,Paid,24026
P905,B905,Paid,9247
P906,B906,Refunded,0
P907,B907,Paid,17908
P908,B908,Paid,12710
P909,B909,Paid,37036
P910,B910,Paid,5891
P911,B911,Paid,16444
P912,B912,Paid,24574
P913,B913,Paid,23115
P914,B914,Paid,31796
P915,B915,Paid,37200
P916,B916,Refunded,0
P917,B917,Paid,8142
P918,B918,Paid,42708
P919,B919,Paid,23528
P920,B920,Paid,9506
P921,B921,Paid,26752
P922,B922,Paid,6241
P923,B923,Paid,24518
P924,B924,Paid,8224
P925,B925,Paid,9258
P926,B926,Paid,18540
P927,B927,Paid,41172
P928,B928,Paid,14914
P929,B929,Paid,22128
P930,B930,Refunded,0
P931,B931,Paid,6895
P932,B932,Paid,11690
P933,B933,Paid,28620
P934,B934,Paid,26274
P935,B935,Paid,28512
P936,B936,Paid,26469
P937,B937,Paid,12782
P938,B938,Paid,39844
P939,B939,Paid,15968
P940,B940,Paid,9691
P941,B941,Paid,28912
P942,B942,Refunded,0
P943,B943,Paid,21614
P944,B944,Paid,10552
P945,B945,Paid,18378
P946,B946,Paid,17296
P947,B947,Paid,33783
P948,B948,Paid,39704
P949,B949,Refunded,0
P950,B950,Paid,13004
P951,B951,Paid,9395
P952,B952,Refunded,0
P953,B953,Paid,24654
P954,B954,Paid,9204
P955,B955,Paid,12952
P956,B956,Refunded,0
P957,B957,Paid,27663
P958,B958,Paid,34587
P959,B959,Paid,8800
P960,B960,Paid,10645
P961,B961,Paid,31341
P962,B962,Refunded,0
P963,B963,Paid,12358
P964,B964,Paid,9175
P965,B965,Refunded,0
P966,B966,Refunded,0
P967,B967,Paid,5638
P968,B968,Paid,11920
P969,B969,Paid,24906
P970,B970,Paid,32048
P971,B971,Paid,12994
P972,B972,Paid,46372
P973,B973,Paid,47496
P974,B974,Paid,13218
P975,B975,Paid,7844
P976,B976,Paid,24276
P977,B977,Paid,35920
P978,B978,Paid,33207
P979,B979,Refunded,0
P980,B980,Paid,23680
P981,B981,Paid,6899
P982,B982,Paid,37048
P983,B983,Paid,23666
P984,B984,Refunded,0
P985,B985,Paid,42760
P986,B986,Paid,21244
P987,B987,Refunded,0
P988,B988,Paid,6839
P989,B989,Paid,20538
P990,B990,Paid,25496
P991,B991,Paid,50184
P992,B992,Paid,16064
P993,B993,Paid,6012
P994,B994,Paid,13334
P995,B995,Paid,37444
P996,B996,Paid,51604
P997,B997,Refunded,0
P998,B998,Paid,48104
P999,B999,Paid,49360
P1000,B1000,Paid,27528
P1001,B1001,Paid,33198
P1002,B1002,Refunded,0
P1003,B1003,Paid,27228
P1004,B1004,Paid,6207
P1005,B1005,Refunded,0
P1006,B1006,Refunded,0
P1007,B1007,Paid,22791
P1008,B1008,Paid,12062
P1009,B1009,Paid,11758
P1010,B1010,Paid,7925
P1011,B1011,Paid,15624
P1012,B1012,Paid,35404
P1013,B1013,Paid,12861
P1014,B1014,Paid,5477
P1015,B1015,Paid,10776
P1016,B1016,Refunded,0
P1017,B1017,Paid,31692
P1018,B1018,Paid,24327
P1019,B1019,Paid,11351
P1020,B1020,Paid,31728
P1021,B1021,Paid,52620
P1022,B1022,Paid,10141
P1023,B1023,Paid,9036
P1024,B1024,Paid,18128
P1025,B1025,Refunded,0
P1026,B1026,Paid,8568
P1027,B1027,Paid,30068
P1028,B1028,Paid,42652
P1029,B1029,Refunded,0
P1030,B1030,Paid,16332
P1031,B1031,Paid,29010
P1032,B1032,Paid,19302
P1033,B1033,Paid,51812
P1034,B1034,Paid,14204
P1035,B1035,Paid,10976
P1036,B1036,Paid,8689
P1037,B1037,Paid,35524
P1038,B1038,Paid,26043
P1039,B1039,Paid,11958
P1040,B1040,Paid,39268
P1041,B1041,Paid,40732
P1042,B1042,Paid,41792
P1043,B1043,Paid,8608
P1044,B1044,Paid,35164
P1045,B1045,Paid,13418
P1046,B1046,Paid,22444
P1047,B1047,Paid,9259
P1048,B1048,Paid,19155
P1049,B1049,Paid,23844
P1050,B1050,Paid,12058
P1051,B1051,Paid,8807
P1052,B1052,Paid,19746
P1053,B1053,Paid,9197
P1054,B1054,Paid,13332
P1055,B1055,Paid,23838
P1056,B1056,Paid,10165
P1057,B1057,Paid,8400
P1058,B1058,Paid,7652
P1059,B1059,Paid,9430
P1060,B1060,Paid,25924
P1061,B1061,Paid,21608
P1062,B1062,Paid,6451
P1063,B1063,Paid,8727
